ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Site Name,Discount,Additional Discounts,Feedback
Lenovo IdeaPad Core i3 10th Gen,4.2,0,0,35990,53790,Flipkart,21% off,Flat INR 2000 Off on SBICards,Positive
Lenovo IdeaPad 3 Core i3 10th Gen,3.9,2809,318,38990,54590,Flipkart,10% off,No Discounts,Positive
Lenovo Core i3 10th Gen,4.3,0,0,38990,55890,Flipkart,24% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad Slim 3i (2021) Core i3 10th Gen,3.7,0,0,39999,59999,Flipkart,30% off,Flat INR 500 Off on SBI Cards,Positive
MSI Creator Z16 Core i9 11th Gen,0,0,0,173990,257990,Flipkart,30% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo IdeaPad Flex 3 Chromebook Celeron Dual Core,3.6,113,21,28390,40490,Flipkart,21% off,Flat INR 500 Off on SBI Cards,Positive
lenovo Yoga 7 Core i7 11th Gen Intel EVO,4.7,82,14,101680,139890,Flipkart,37% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad Flex 5 Core i3 11th Gen,3.5,0,0,57299,85000,Flipkart,40% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Yoga 6 Ryzen 5 Hexa Core 5500U,0,0,0,74799,104890,Flipkart,30% off,10% Off on SBI Credit Cards,Negative
MSI Crosshair 15 Core i7 12th Gen,0,0,0,121990,156990,Flipkart,22% off,Flat INR 500 Off on SBI Cards,Negative
MSI GF65 Thin Core i5 9th Gen,4.6,889,173,74990,99990,Flipkart,41% off,Flat INR 500 Off on SBI Cards,Positive
MSI Katana GF66 Core i5 12th Gen,0,0,0,85990,111990,Flipkart,38% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Yoga 6 Ryzen 7 Octa Core 4700U,4.5,84,15,79990,0,Flipkart,27% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad Slim 5i Core i5 11th Gen,4.2,0,0,66990,86490,Flipkart,21% off,10% Off on SBI Credit Cards,Positive
MSI Modern 14 Core i7 11th Gen,4.2,0,0,58990,78990,Flipkart,38% off,10% Off on SBI Credit Cards,Positive
MSI Core i7 11th Gen,0,0,0,70990,89990,Flipkart,30% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Ryzen 7 Octa Core 5800H,0,0,0,97990,152490,Flipkart,24% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H,4.1,0,0,73990,104890,Flipkart,26% off,Flat INR 500 Off on SBI Cards,Positive
MSI Pulse GL66 Core i7 11th Gen,4.6,0,0,109990,123990,Flipkart,38% off,Flat INR 500 Off on SBI Cards,Positive
MSI Prestige 14 EVO Core i5 11th Gen,4.5,0,0,80490,93489,Flipkart,27% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core 4800H,4.4,144,21,82000,89490,Flipkart,21% off,10% Off on SBI Credit Cards,Positive
Lenovo Legion 5 Ryzen 5 Hexa Core 5600H,0,0,0,73999,107690,Flipkart,19% off,10% Off on SBI Credit Cards,Negative
Lenovo Legion 5 Pro Core i7 11th Gen,4.6,0,0,157990,224490,Flipkart,23% off,Flat INR 500 Off on SBI Cards,Positive
MSI Raider GE66 Core i7 12th Gen,0,0,0,259990,279990,Flipkart,75% off,Save extra with No Cost EMI,Negative
Lenovo IdeaPad Gaming 3i Core i5 10th Gen,4.4,901,128,74590,109990,Flipkart,24% off,Flat INR 500 Off on SBI Cards,Positive
MSI Core i7 12th Gen,4.1,0,0,129990,156990,Flipkart,41% off,10% Off on SBI Credit Cards,Positive
MSI Core i7 12th Gen,0,0,0,179990,190990,Flipkart,25% off,10% Off on SBI Credit Cards,Negative
Lenovo Ideapad 330s Core i5 8th Gen,4,0,0,56990,62594,Flipkart,29% off,10% Off on SBI Credit Cards,Positive
Lenovo Legion 5 Ryzen 5 Hexa Core 5600H,4.5,0,0,73999,107690,Flipkart,38% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad Flex 3 Chromebook Celeron Dual Core,3.6,113,21,28390,40490,Flipkart,38% off,Flat INR 500 Off on SBI Cards,Positive
MSI Core i7 11th Gen,0,0,0,73990,95990,Flipkart,30% off,Flat INR 500 Off on SBI Cards,Negative
MSI Prestige 14 Evo Intel EVO Core i7 11th Gen,5,0,0,84990,106990,Flipkart,35% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad Flex 5 Core i3 11th Gen,3.5,0,0,57299,85000,Flipkart,28% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Yoga 6 Ryzen 5 Hexa Core 5500U,0,0,0,74799,104890,Flipkart,41% off,10% Off on SBI Credit Cards,Negative
MSI Crosshair 15 Core i7 12th Gen,0,0,0,121990,156990,Flipkart,24% off,10% Off on SBI Credit Cards,Negative
Lenovo ThinkBook 13s Core i5 11th Gen,4,108,15,59990,112608,Flipkart,40% off,Flat INR 500 Off on SBI Cards,Positive
MSI Core i7 11th Gen,0,0,0,76990,85990,Flipkart,36% off,Flat INR 500 Off on SBI Cards,Negative
